filename,culture,object_type,relative_path,prompt
indian_fabric_001.jpg,Indian,fabric,Indian\fabric\indian_fabric_001.jpg,Indian style fabric texture
indian_fabric_003.jpg,Indian,fabric,Indian\fabric\indian_fabric_003.jpg,Indian style fabric texture
indian_fabric_004.jpg,Indian,fabric,Indian\fabric\indian_fabric_004.jpg,Indian style fabric texture
indian_fabric_005.jpg,Indian,fabric,Indian\fabric\indian_fabric_005.jpg,Indian style fabric texture
indian_fabric_006.jpg,Indian,fabric,Indian\fabric\indian_fabric_006.jpg,Indian style fabric texture
indian_fabric_007.jpg,Indian,fabric,Indian\fabric\indian_fabric_007.jpg,Indian style fabric texture
indian_fabric_008.jpg,Indian,fabric,Indian\fabric\indian_fabric_008.jpg,Indian style fabric texture
indian_fabric_009.jpg,Indian,fabric,Indian\fabric\indian_fabric_009.jpg,Indian style fabric texture
indian_fabric_011.jpg,Indian,fabric,Indian\fabric\indian_fabric_011.jpg,Indian style fabric texture
indian_fabric_012.jpg,Indian,fabric,Indian\fabric\indian_fabric_012.jpg,Indian style fabric texture
indian_fabric_013.jpg,Indian,fabric,Indian\fabric\indian_fabric_013.jpg,Indian style fabric texture
indian_fabric_014.jpg,Indian,fabric,Indian\fabric\indian_fabric_014.jpg,Indian style fabric texture
indian_fabric_015.jpg,Indian,fabric,Indian\fabric\indian_fabric_015.jpg,Indian style fabric texture
indian_fabric_016.jpg,Indian,fabric,Indian\fabric\indian_fabric_016.jpg,Indian style fabric texture
indian_fabric_017.jpg,Indian,fabric,Indian\fabric\indian_fabric_017.jpg,Indian style fabric texture
indian_fabric_018.jpg,Indian,fabric,Indian\fabric\indian_fabric_018.jpg,Indian style fabric texture
indian_fabric_019.jpg,Indian,fabric,Indian\fabric\indian_fabric_019.jpg,Indian style fabric texture
indian_fabric_021.jpg,Indian,fabric,Indian\fabric\indian_fabric_021.jpg,Indian style fabric texture
indian_fabric_022.jpg,Indian,fabric,Indian\fabric\indian_fabric_022.jpg,Indian style fabric texture
indian_fabric_023.jpg,Indian,fabric,Indian\fabric\indian_fabric_023.jpg,Indian style fabric texture
indian_fabric_024.jpg,Indian,fabric,Indian\fabric\indian_fabric_024.jpg,Indian style fabric texture
indian_fabric_025.jpg,Indian,fabric,Indian\fabric\indian_fabric_025.jpg,Indian style fabric texture
indian_fabric_026.jpg,Indian,fabric,Indian\fabric\indian_fabric_026.jpg,Indian style fabric texture
indian_fabric_030.jpg,Indian,fabric,Indian\fabric\indian_fabric_030.jpg,Indian style fabric texture
indian_fabric_032.jpg,Indian,fabric,Indian\fabric\indian_fabric_032.jpg,Indian style fabric texture
indian_fabric_033.jpg,Indian,fabric,Indian\fabric\indian_fabric_033.jpg,Indian style fabric texture
indian_fabric_034.jpg,Indian,fabric,Indian\fabric\indian_fabric_034.jpg,Indian style fabric texture
indian_fabric_035.jpg,Indian,fabric,Indian\fabric\indian_fabric_035.jpg,Indian style fabric texture
indian_fabric_036.jpg,Indian,fabric,Indian\fabric\indian_fabric_036.jpg,Indian style fabric texture
indian_fabric_037.jpg,Indian,fabric,Indian\fabric\indian_fabric_037.jpg,Indian style fabric texture
indian_fabric_038.jpg,Indian,fabric,Indian\fabric\indian_fabric_038.jpg,Indian style fabric texture
indian_fabric_039.jpg,Indian,fabric,Indian\fabric\indian_fabric_039.jpg,Indian style fabric texture
indian_fabric_040.jpg,Indian,fabric,Indian\fabric\indian_fabric_040.jpg,Indian style fabric texture
indian_fabric_041.jpg,Indian,fabric,Indian\fabric\indian_fabric_041.jpg,Indian style fabric texture
indian_fabric_042.jpg,Indian,fabric,Indian\fabric\indian_fabric_042.jpg,Indian style fabric texture
indian_fabric_043.jpg,Indian,fabric,Indian\fabric\indian_fabric_043.jpg,Indian style fabric texture
indian_fabric_044.jpg,Indian,fabric,Indian\fabric\indian_fabric_044.jpg,Indian style fabric texture
indian_fabric_045.jpg,Indian,fabric,Indian\fabric\indian_fabric_045.jpg,Indian style fabric texture
indian_fabric_046.jpg,Indian,fabric,Indian\fabric\indian_fabric_046.jpg,Indian style fabric texture
