filename, Bohemian, Coastal, Contemporary, Eclectic, Farm_House, French_Country, Hollywood_Regency, Industrial, Mid-Century_Modern, Minimalist, Modern, Rustic, Scandinavian, Traditional, arts_and_craft
Farm_House_89_jpeg.rf.000d773fda02aac0a56d7121b74a104d.jpg, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Mid-Century_Modern_82_jpeg.rf.0019e1eb3ba36c0133d186112022de8a.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
arts_and_craft_116_jpeg.rf.002af91f57acb7717cf394bbbd9213c8.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
Eclectic_45_jpeg.rf.002e0ed4cc6bc2cde47974f28a4c24c4.jpg, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Farm_House_11_jpeg.rf.003a84b7d46dcf73624c6121ef24ac33.jpg, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Rustic_4_jpeg.rf.00cacbaeed8ed728b0044da8907a8b4e.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
Scandinavian_89_jpeg.rf.00d8971e6277eb6a5cf7c3241af219e4.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
Coastal_126_jpeg.rf.012bf058fa5e43684c725f0963dbf8e9.jpg, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Eclectic_69_jpeg.rf.00f4e05ac30de766cbf0aed80512c77b.jpg, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Eclectic_122_jpeg.rf.0172697af97bea042b0ed60a7fa1f39e.jpg, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Traditional_77_jpeg.rf.014f85b2969532851bd5e9acac736672.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
Minimalist_89_jpeg.rf.01e10afcd52c467663e1a9db372832e6.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
Contemporary_70_jpeg.rf.02abb672617e7f4acd7b159f088f1ed5.jpg, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
Coastal_53_png.rf.0270b4cf31d6b782fcd503f1eed0c0bb.jpg, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Minimalist_23_jpeg.rf.01e8a3a98aaea1d0bed66497c1aec463.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
Bohemian_61_jpeg.rf.031224f4e4d9d86f6aa828e04e9c9a88.jpg, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
Hollywood_Regency_67_jpeg.rf.0376432d5501a1d0052274374eb0da9a.jpg, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
Scandinavian_40_jpeg.rf.036efb695d152adfda55457ff153e553.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
Farm_House_84_jpeg.rf.02b925ef122be78dd5f580819d159049.jpg, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
French_Country_15_jpeg.rf.0384e9c4f9544f39c9d1fdba738d2828.jpg, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
Traditional_49_jpeg.rf.037c441d7bd01d50d37e241dac9b98e4.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
French_Country_32_jpeg.rf.02bbf249f0d9a000a2c0b01fdaa3d813.jpg, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0
arts_and_craft_108_jpeg.rf.037ec0faa526f2abc39095a747d4189f.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
Rustic_57_jpeg.rf.038814f9cdc47bf3296e06d2fabde991.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
Rustic_1_jpeg.rf.00bc86bb69734dd27ece3d2d5adaa569.jpg, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0
Modern_97_jpeg.rf.0407fa5482992d961cd5378484ea9417.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
Scandinavian_11_jpeg.rf.0427c02e9a080b560ae1b8f38764d709.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
Modern_38_jpeg.rf.040a162ed0b7624ebcbd58f70f4c3530.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
Hollywood_Regency_7_jpeg.rf.04d183164a1d10e106da2d771fb0da2f.jpg, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
Bohemian_47_jpeg.rf.04e6be46f545b1838b19a497fa3aff77.jpg, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
French_Country_2_jpeg.rf.0561178df6d2a83e854fc4e88e8f6f46.jpg, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0
arts_and_craft_30_jpeg.rf.03e914521d3b13d09036120dd16efbc6.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
Rustic_31_jpeg.rf.0521c2c1935269423a5fd2b024a86452.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
Contemporary_73_jpeg.rf.054259de5768f695d7d3e5b3821bb1a7.jpg, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
Mid-Century_Modern_49_jpeg.rf.051e05c719a79e537bb55aed7a2cdcde.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
French_Country_75_jpeg.rf.05fa523d50cccb479d5952fb04575c35.jpg, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0
arts_and_craft_103_jpeg.rf.05bfea8e3cbb056018a9c6f5219b049f.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
Mid-Century_Modern_60_jpeg.rf.066d021e50b0eceef71950a98f904c54.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
Eclectic_44_jpeg.rf.0643553a5f8280ae7198a0384b31fc07.jpg, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Coastal_68_jpeg.rf.063d7ad008c083a83c1e4b5d22a2dce3.jpg, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
Eclectic_7_jpeg.rf.05708bc1ac4e5ba84d2149588285ff1a.jpg, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Eclectic_1_jpeg.rf.06bacd1d388e95d252e08f4070795b3d.jpg, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Rustic_45_jpeg.rf.06b2865259daeaa6d8c08512bd37be2f.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
Minimalist_25_jpeg.rf.06842cb00e231869e10fc0855c64f3ad.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
Scandinavian_31_jpeg.rf.06cf866b64ba4c7b2e268936c5ed5fec.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
arts_and_craft_22_jpeg.rf.06d5321595e249f072440ae3f16636a3.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
Hollywood_Regency_116_jpeg.rf.0866637adf46ac058ce7b9461cae91b0.jpg, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
arts_and_craft_0_jpeg.rf.080eaf61324c93baf0a03ba1932e16f1.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
Industrial_9_jpeg.rf.080497302b9f3098e8e1a183b65c5f9b.jpg, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
Rustic_7_jpeg.rf.079549c3a647c72d7d0b704e3337f7bd.jpg, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
Traditional_144_png.rf.07a1972e52a49bf8cfe81beb35c09f52.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0
Bohemian_95_jpeg.rf.092b4d656781ac3ca01f707628103b9b.jpg, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0
Mid-Century_Modern_69_jpeg.rf.080714e896281135dd41e68883cf70bc.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0
Hollywood_Regency_94_jpeg.rf.097f7fb8784920c759b2413ae8c7ffd9.jpg, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
Eclectic_76_jpeg.rf.07d373f3a884b2f28733b2d5011b7977.jpg, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
Contemporary_56_jpeg.rf.06fb72062d0f4cf12a61419be0b829fa.jpg, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0
Scandinavian_72_jpeg.rf.0a097d40e87e3f863161169d461909dd.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
Minimalist_52_jpeg.rf.095ff1b6b4d3c6ce80ece9e7bb2be292.jpg, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
Coastal_33_jpeg.rf.09ce52c3d0b2f3290b8cf33d0b321196.jpg, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
